LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
1,81109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,HDFS_E10,PacketResponder <*> for block <*> terminating,HDFS,O O O O O O O OID O LOI,1,1,0,0,0,0,0,0,0,0
3,81109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,HDFS_E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,O O O O O O O OID O O CRS O LOI,1,1,0,0,0,0,1,0,0,0
10,81109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,HDFS_E11,Received block <*> of size <*> from <*>,HDFS,O O O O O O O OID O O CRS O LOI,1,1,0,0,0,0,1,0,0,0
12,81109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,HDFS_E13,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,O O O O O O OID O O OID O,2,0,0,0,0,0,0,0,0,0
16,81109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,HDFS_E7,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,O O O O O O OID O O OID O,2,0,0,0,0,0,0,0,0,0
29,81109,205931,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_-4980916519894289629,HDFS_E14,Verification succeeded for <*>,HDFS,O O O O O O O OID O O CRS O LOI,1,1,0,0,0,0,1,0,0,0
73,81109,213837,19,INFO,dfs.FSDataset,Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,HDFS_E9,Deleting block <*> file <*>,HDFS,O O O O O O O OID O O CRS O LOI,1,1,0,0,0,0,1,0,0,0
74,81109,213847,2552,INFO,dfs.DataNode$DataXceiver,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,HDFS_E1,<*>:<*> Served block <*> to <*>,HDFS,O O O O O O OID O O OID O,2,0,0,0,0,0,0,0,0,0
78,81109,214043,2561,WARN,dfs.DataNode$DataXceiver,10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,HDFS_E3,<*>:<*>:Got exception while serving <*> to <*>:,HDFS,O O O O O O O O O LOI O O O OID O CRS,1,1,0,0,0,0,1,0,0,0
292,81110,20724,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_2568309208894455676 is added to invalidSet of 10.251.31.160:50010,HDFS_E8,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>:<*>,HDFS,O O O O O O OID O O OID O,2,0,0,0,0,0,0,0,0,0
912,81110,211541,18,INFO,dfs.DataNode,10.250.15.198:50010 Starting thread to transfer block blk_4292382298896622412 to 10.250.15.240:50010,HDFS_E2,<*>:<*> Starting thread to transfer block <*> to <*>:<*>,HDFS,O O O O O O O OID O LOI,1,1,0,0,0,0,0,0,0,0
928,81110,212510,19,INFO,dfs.FSNamesystem,BLOCK* ask 10.250.18.114:50010 to delete  blk_-5140072410813878235,HDFS_E4,BLOCK* ask <*>:<*> to delete <*>,HDFS,O O O O O O O O O LOI O O O OID O CRS,1,1,0,0,0,0,1,0,0,0
1439,81111,50334,20441,INFO,dfs.DataNode$DataXceiver,Received block blk_-4411589101766563890 src: /10.250.14.38:37362 dest: /10.250.14.38:50010 of size 67108864,HDFS_E12,Received block <*> src: <*>:<*> dest: <*>:<*> of size <*>,HDFS,O O O O O O O OID O O CRS O LOI,1,1,0,0,0,0,1,0,0,0
1765,81111,80934,19,INFO,dfs.FSNamesystem,BLOCK* ask 10.250.14.38:50010 to replicate blk_-7571492020523929240 to datanode(s) 10.251.122.38:50010,HDFS_E5,BLOCK* ask <*>:<*> to replicate <*> to datanode(s) <*>:<*>,HDFS,O O O O O O O OID O LOI O LOI,1,2,0,0,0,0,0,0,0,0
